HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressSetpoint,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SpaceTempSetpointActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
48.705,62.8371,18.1893,0.025,0.0335,22.7298,67.5356,61.0282,2.4047,57.3645,58.0
86.935,63.6472,18.1893,0.025,0.0329,19.617,69.1197,61.0282,2.3043,57.3645,58.0
86.935,62.099,18.2195,0.025,0.0358,21.1124,67.3015,61.0282,2.3324,59.1827,58.0
45.76,63.3771,18.1321,0.025,0.0349,19.0372,68.6157,61.0282,2.3806,57.2745,58.0
88.525,63.3771,17.9574,0.025,0.0359,18.2438,68.6157,61.0282,2.3003,57.2745,58.0
96.57,62.009,17.845,0.025,0.0349,21.0514,67.1755,61.0282,2.3404,59.0027,58.0
26.385,63.6472,17.845,0.025,0.0349,18.0301,69.1197,61.0282,2.3926,56.6445,58.0
100.0,62.5491,17.845,0.025,0.0355,18.9762,68.2556,61.0282,2.2963,57.8326,58.0
31.965,62.5491,17.9314,0.025,0.0355,19.617,68.2556,61.0282,2.3886,58.5527,58.0
85.9,63.6472,17.818,0.025,0.0361,17.5724,69.2817,61.0282,2.3244,56.6445,58.0
82.64,61.919,17.6202,0.025,0.0356,20.8072,67.0675,61.0282,2.3966,58.2826,58.0
47.76,64.0072,17.7326,0.025,0.0356,17.6639,69.6778,61.0282,2.3364,58.9127,58.0
100.0,62.279,17.6202,0.025,0.0356,19.8307,68.0036,61.0282,2.3043,56.6445,58.0
32.04,63.3771,17.7326,0.025,0.0356,19.0067,68.0036,61.0282,2.4006,59.1827,58.0
89.2,63.3771,17.5912,0.025,0.035,18.0912,69.1197,61.0282,2.3204,57.3645,58.0
100.0,62.189,17.7326,0.025,0.0368,20.4105,67.6616,61.0282,2.3204,58.2826,58.0
27.5,63.6472,17.7326,0.025,0.0353,18.0606,69.2817,61.0282,2.3806,58.2826,58.0
100.0,62.7471,17.7326,0.025,0.0361,19.495,68.3636,61.0282,2.3043,56.5545,58.0
25.58,62.7471,17.7326,0.025,0.035,20.9293,68.3636,61.0282,2.3926,58.9127,58.0
86.525,63.3771,17.6202,0.025,0.0345,18.9151,69.2457,61.0282,2.3003,58.9127,58.0
100.0,61.919,17.5345,0.025,0.0341,21.5091,67.4635,61.0282,2.3324,57.4545,58.0
43.465,63.6472,17.6174,0.025,0.0335,18.8236,69.3537,61.0282,2.3525,57.4545,58.0
100.0,62.7471,17.585,0.025,0.0353,19.3729,68.6517,61.0282,2.3043,59.0927,58.0
67.95,61.919,17.4696,0.025,0.0349,21.4481,67.5356,61.0282,2.3886,56.1044,58.0
52.85,63.4671,17.5506,0.025,0.0353,19.2203,69.2457,61.0282,2.3404,58.2826,58.0
100.0,62.369,17.4342,0.025,0.0359,21.1124,68.1656,61.0282,2.3003,59.0027,58.0
20.935,62.369,17.585,0.025,0.0345,20.7157,68.1656,61.0282,2.4006,57.0045,58.0
98.805,62.369,17.5506,0.025,0.0356,20.1969,68.8857,61.0282,2.3003,58.6427,58.0
68.835,62.369,17.5506,0.025,0.0349,22.0584,67.2655,61.0282,2.4006,57.2745,58.0
57.3,63.6472,17.6315,0.025,0.0355,18.61,69.3537,61.0282,2.3364,57.2745,58.0
100.0,62.5491,17.6315,0.025,0.0345,20.38,68.2556,61.0282,2.3204,59.3627,58.0
45.04,62.5491,17.5941,0.025,0.0353,21.2955,68.2556,61.0282,2.3926,57.0945,58.0
66.39,63.7372,17.4951,0.025,0.0353,19.7391,69.4437,61.0282,2.3284,57.0945,58.0
100.0,62.189,17.5548,0.025,0.0353,22.6078,67.6976,61.0282,2.3364,58.8227,58.0
26.03,63.2871,17.6741,0.025,0.0349,21.9974,68.4176,61.0282,2.3926,57.1845,58.0
96.395,63.2871,17.5941,0.025,0.0349,20.8377,68.4176,61.0282,2.3204,57.1845,58.0
64.91,63.2871,17.5941,0.025,0.0324,23.7064,67.2655,61.0282,2.3966,58.7327,58.0
44.085,64.3852,17.6315,0.025,0.0315,21.6922,69.6058,61.0282,2.3204,56.7345,58.0
100.0,62.9271,17.7124,0.025,0.0352,24.744,67.8596,61.0282,2.3404,59.0027,58.0
41.35,63.6472,18.1149,0.025,0.0335,24.2862,67.8596,61.0282,2.4167,57.0045,58.0
39.93,64.8353,18.2449,0.025,0.0344,22.0584,69.4437,61.0282,2.3766,59.6508,58.0
100.0,63.3771,18.4815,0.025,0.0355,24.2252,68.0036,61.0282,2.3324,56.7345,58.0
12.09,64.3852,18.6232,0.025,0.0347,23.3402,68.0036,61.0282,2.3926,58.9127,58.0
100.0,65.1053,18.8304,0.025,0.033,21.4481,68.8137,61.0282,2.3324,58.9127,58.0
15.51,64.3852,18.9117,0.025,0.0341,22.7909,67.9316,61.0282,2.3966,57.2745,58.0
81.6,65.4834,18.9328,0.025,0.0324,19.9833,69.2457,61.0282,2.3083,59.4527,58.0
89.375,64.1152,18.65,0.025,0.033,20.5936,67.4095,61.0282,2.3886,57.0045,58.0
37.165,65.7534,18.65,0.025,0.033,17.6334,68.9217,61.0282,2.3725,59.2727,58.0
97.555,65.7534,18.5842,0.025,0.033,16.901,68.9217,61.0282,2.3003,58.1026,58.0
32.985,64.8353,18.445,0.025,0.035,17.6639,67.6616,61.0282,2.3926,56.7345,58.0
68.875,67.0315,18.4538,0.025,0.0338,14.6732,69.3177,61.0282,2.3163,58.8227,58.0
71.64,65.1053,18.5593,0.025,0.0356,16.6874,67.3375,61.0282,2.3926,57.1845,58.0
26.83,66.5635,18.7703,0.025,0.0356,14.9479,68.9217,61.0282,2.3725,56.1944,58.0
100.0,66.5635,18.9286,0.025,0.0352,15.3446,68.9217,61.0282,2.3204,59.0027,58.0
33.89,66.5635,19.0341,0.025,0.0339,16.4127,67.9676,61.0282,2.3926,59.0027,58.0
54.1,67.3015,19.3502,0.025,0.0335,14.368,69.6058,61.0282,2.2963,59.6508,58.0
65.365,65.9334,19.5058,0.025,0.0326,17.5724,67.2655,61.0282,2.3886,57.0045,58.0
7.06,67.6616,19.6103,0.025,0.0342,16.016,69.2817,61.0282,2.3725,56.0144,58.0
100.0,66.2034,19.7596,0.025,0.0332,17.786,67.8056,61.0282,2.3364,56.8245,58.0
20.175,67.0315,19.9761,0.025,0.0332,16.7179,68.7237,61.0282,2.3846,57.6346,58.0
100.0,67.0315,19.9666,0.025,0.0307,16.7179,68.7237,61.0282,2.2882,59.0927,58.0
48.58,66.2034,20.0806,0.025,0.0338,18.0606,67.7696,61.0282,2.3846,59.0927,58.0
42.05,67.7516,20.4464,0.025,0.0338,16.4737,69.4437,61.0282,2.3364,56.4644,58.0
100.0,66.2934,20.3654,0.025,0.0338,18.5184,67.8596,61.0282,2.3404,56.4644,58.0
18.725,67.3915,20.3481,0.025,0.0338,17.725,67.8596,61.0282,2.3846,59.3627,58.0
